bengali_date,gregorian_Date
"15 , Srabon(Shraban) 1387",31/07/1980
"16 , Srabon(Shraban) 1387",01/08/1980
"17 , Srabon(Shraban) 1387",02/08/1980
"18 , Srabon(Shraban) 1387",03/08/1980
"19 , Srabon(Shraban) 1387",04/08/1980
"20 , Srabon(Shraban) 1387",05/08/1980
"21 , Srabon(Shraban) 1387",06/08/1980
"22 , Srabon(Shraban) 1387",07/08/1980
"23 , Srabon(Shraban) 1387",08/08/1980
"24 , Srabon(Shraban) 1387",09/08/1980
"25 , Srabon(Shraban) 1387",10/08/1980
"26 , Srabon(Shraban) 1387",11/08/1980
"27 , Srabon(Shraban) 1387",12/08/1980
"28 , Srabon(Shraban) 1387",13/08/1980
"29 , Srabon(Shraban) 1387",14/08/1980
"30 , Srabon(Shraban) 1387",15/08/1980
"31 , Srabon(Shraban) 1387",16/08/1980
"1 , Bhadro (Bhadra) 1387",17/08/1980
"2 , Bhadro (Bhadra) 1387",18/08/1980
"3 , Bhadro (Bhadra) 1387",19/08/1980
"4 , Bhadro (Bhadra) 1387",20/08/1980
"5 , Bhadro (Bhadra) 1387",21/08/1980
"6 , Bhadro (Bhadra) 1387",22/08/1980
"7 , Bhadro (Bhadra) 1387",23/08/1980
"8 , Bhadro (Bhadra) 1387",24/08/1980
"9 , Bhadro (Bhadra) 1387",25/08/1980
"10 , Bhadro (Bhadra) 1387",26/08/1980
"11 , Bhadro (Bhadra) 1387",27/08/1980
"12 , Bhadro (Bhadra) 1387",28/08/1980
"13 , Bhadro (Bhadra) 1387",29/08/1980
"14 , Bhadro (Bhadra) 1387",30/08/1980
"15 , Bhadro (Bhadra) 1387",31/08/1980
"16 , Bhadro (Bhadra) 1387",01/09/1980
"17 , Bhadro (Bhadra) 1387",02/09/1980
"18 , Bhadro (Bhadra) 1387",03/09/1980
"19 , Bhadro (Bhadra) 1387",04/09/1980
"20 , Bhadro (Bhadra) 1387",05/09/1980
"21 , Bhadro (Bhadra) 1387",06/09/1980
