gujarati_date,gregorian_date
4 Posh 2036,"Jan 10, 1981"
5 Posh 2036,"Jan 11, 1981"
6 Posh 2036,"Jan 12, 1981"
7 Posh 2036,"Jan 13, 1981"
8 Posh 2036,"Jan 14, 1981"
9 Posh 2036,"Jan 15, 1981"
10 Posh 2036,"Jan 16, 1981"
11 Posh 2036,"Jan 17, 1981"
12 Posh 2036,"Jan 18, 1981"
13 Posh 2036,"Jan 19, 1981"
14 Posh 2036,"Jan 20, 1981"
15 Posh 2036,"Jan 21, 1981"
16 Posh 2036,"Jan 22, 1981"
17 Posh 2036,"Jan 23, 1981"
18 Posh 2036,"Jan 24, 1981"
19 Posh 2036,"Jan 25, 1981"
20 Posh 2036,"Jan 26, 1981"
21 Posh 2036,"Jan 27, 1981"
22 Posh 2036,"Jan 28, 1981"
23 Posh 2036,"Jan 29, 1981"
24 Posh 2036,"Jan 30, 1981"
25 Posh 2036,"Jan 31, 1981"
26 Posh 2036,"Feb 01, 1981"
27 Posh 2036,"Feb 02, 1981"
28 Posh 2036,"Feb 03, 1981"
29 Posh 2036,"Feb 04, 1981"
1 Maha 2037,"Feb 05, 1981"
2 Maha 2037,"Feb 06, 1981"
3 Maha 2037,"Feb 07, 1981"
4 Maha 2037,"Feb 08, 1981"
5 Maha 2037,"Feb 09, 1981"
6 Maha 2037,"Feb 10, 1981"
7 Maha 2037,"Feb 11, 1981"
8 Maha 2037,"Feb 12, 1981"
9 Maha 2037,"Feb 13, 1981"
10 Maha 2037,"Feb 14, 1981"
11 Maha 2037,"Feb 15, 1981"
12 Maha 2037,"Feb 16, 1981"
13 Maha 2037,"Feb 17, 1981"
14 Maha 2037,"Feb 18, 1981"
15 Maha 2037,"Feb 19, 1981"
16 Maha 2037,"Feb 20, 1981"
17 Maha 2037,"Feb 21, 1981"
18 Maha 2037,"Feb 22, 1981"
19 Maha 2037,"Feb 23, 1981"
20 Maha 2037,"Feb 24, 1981"
21 Maha 2037,"Feb 25, 1981"
22 Maha 2037,"Feb 26, 1981"
23 Maha 2037,"Feb 27, 1981"
24 Maha 2037,"Feb 28, 1981"
25 Maha 2037,"Mar 01, 1981"
26 Maha 2037,"Mar 02, 1981"
27 Maha 2037,"Mar 03, 1981"
28 Maha 2037,"Mar 04, 1981"
29 Maha 2037,"Mar 05, 1981"
30 Maha 2037,"Mar 06, 1981"
1 Phaguna 2037,"Mar 07, 1981"
2 Phaguna 2037,"Mar 08, 1981"
3 Phaguna 2037,"Mar 09, 1981"
4 Phaguna 2037,"Mar 10, 1981"
5 Phaguna 2037,"Mar 11, 1981"
6 Phaguna 2037,"Mar 12, 1981"
7 Phaguna 2037,"Mar 13, 1981"
8 Phaguna 2037,"Mar 14, 1981"
9 Phaguna 2037,"Mar 15, 1981"
10 Phaguna 2037,"Mar 16, 1981"
11 Phaguna 2037,"Mar 17, 1981"
12 Phaguna 2037,"Mar 18, 1981"
13 Phaguna 2037,"Mar 19, 1981"
14 Phaguna 2037,"Mar 20, 1981"
15 Phaguna 2037,"Mar 21, 1981"
16 Phaguna 2037,"Mar 22, 1981"
17 Phaguna 2037,"Mar 23, 1981"
18 Phaguna 2037,"Mar 24, 1981"
19 Phaguna 2037,"Mar 25, 1981"
20 Phaguna 2037,"Mar 26, 1981"
21 Phaguna 2037,"Mar 27, 1981"
22 Phaguna 2037,"Mar 28, 1981"
23 Phaguna 2037,"Mar 29, 1981"
24 Phaguna 2037,"Mar 30, 1981"
25 Phaguna 2037,"Mar 31, 1981"
26 Phaguna 2037,"Apr 01, 1981"
27 Phaguna 2037,"Apr 02, 1981"
28 Phaguna 2037,"Apr 03, 1981"
29 Phaguna 2037,"Apr 04, 1981"
1 Chaitra 2037,"Apr 05, 1981"
2 Chaitra 2037,"Apr 06, 1981"
3 Chaitra 2037,"Apr 07, 1981"
4 Chaitra 2037,"Apr 08, 1981"
5 Chaitra 2037,"Apr 09, 1981"
6 Chaitra 2037,"Apr 10, 1981"
7 Chaitra 2037,"Apr 11, 1981"
8 Chaitra 2037,"Apr 12, 1981"
9 Chaitra 2037,"Apr 13, 1981"
10 Chaitra 2037,"Apr 14, 1981"
11 Chaitra 2037,"Apr 15, 1981"
12 Chaitra 2037,"Apr 16, 1981"
13 Chaitra 2037,"Apr 17, 1981"
14 Chaitra 2037,"Apr 18, 1981"
15 Chaitra 2037,"Apr 19, 1981"
16 Chaitra 2037,"Apr 20, 1981"
17 Chaitra 2037,"Apr 21, 1981"
18 Chaitra 2037,"Apr 22, 1981"
19 Chaitra 2037,"Apr 23, 1981"
20 Chaitra 2037,"Apr 24, 1981"
21 Chaitra 2037,"Apr 25, 1981"
22 Chaitra 2037,"Apr 26, 1981"
23 Chaitra 2037,"Apr 27, 1981"
24 Chaitra 2037,"Apr 28, 1981"
25 Chaitra 2037,"Apr 29, 1981"
26 Chaitra 2037,"Apr 30, 1981"
27 Chaitra 2037,"May 01, 1981"
28 Chaitra 2037,"May 02, 1981"
29 Chaitra 2037,"May 03, 1981"
30 Chaitra 2037,"May 04, 1981"
1 Vaishakha 2037,"May 05, 1981"
2 Vaishakha 2037,"May 06, 1981"
3 Vaishakha 2037,"May 07, 1981"
4 Vaishakha 2037,"May 08, 1981"
5 Vaishakha 2037,"May 09, 1981"
6 Vaishakha 2037,"May 10, 1981"
7 Vaishakha 2037,"May 11, 1981"
8 Vaishakha 2037,"May 12, 1981"
9 Vaishakha 2037,"May 13, 1981"
10 Vaishakha 2037,"May 14, 1981"
11 Vaishakha 2037,"May 15, 1981"
12 Vaishakha 2037,"May 16, 1981"
13 Vaishakha 2037,"May 17, 1981"
14 Vaishakha 2037,"May 18, 1981"
15 Vaishakha 2037,"May 19, 1981"
16 Vaishakha 2037,"May 20, 1981"
17 Vaishakha 2037,"May 21, 1981"
18 Vaishakha 2037,"May 22, 1981"
19 Vaishakha 2037,"May 23, 1981"
20 Vaishakha 2037,"May 24, 1981"
21 Vaishakha 2037,"May 25, 1981"
22 Vaishakha 2037,"May 26, 1981"
23 Vaishakha 2037,"May 27, 1981"
24 Vaishakha 2037,"May 28, 1981"
25 Vaishakha 2037,"May 29, 1981"
26 Vaishakha 2037,"May 30, 1981"
27 Vaishakha 2037,"May 31, 1981"
28 Vaishakha 2037,"Jun 01, 1981"
29 Vaishakha 2037,"Jun 02, 1981"
1 Jyeshta 2037,"Jun 03, 1981"
2 Jyeshta 2037,"Jun 04, 1981"
3 Jyeshta 2037,"Jun 05, 1981"
4 Jyeshta 2037,"Jun 06, 1981"
5 Jyeshta 2037,"Jun 07, 1981"
6 Jyeshta 2037,"Jun 08, 1981"
7 Jyeshta 2037,"Jun 09, 1981"
8 Jyeshta 2037,"Jun 10, 1981"
9 Jyeshta 2037,"Jun 11, 1981"
10 Jyeshta 2037,"Jun 12, 1981"
11 Jyeshta 2037,"Jun 13, 1981"
12 Jyeshta 2037,"Jun 14, 1981"
13 Jyeshta 2037,"Jun 15, 1981"
14 Jyeshta 2037,"Jun 16, 1981"
15 Jyeshta 2037,"Jun 17, 1981"
