gujarati_date,gregorian_date
8 Aso 2057,"Oct 24, 2001"
9 Aso 2057,"Oct 25, 2001"
10 Aso 2057,"Oct 26, 2001"
11 Aso 2057,"Oct 27, 2001"
12 Aso 2057,"Oct 28, 2001"
13 Aso 2057,"Oct 29, 2001"
14 Aso 2057,"Oct 30, 2001"
15 Aso 2057,"Oct 31, 2001"
16 Aso 2057,"Nov 01, 2001"
17 Aso 2057,"Nov 02, 2001"
18 Aso 2057,"Nov 03, 2001"
19 Aso 2057,"Nov 04, 2001"
20 Aso 2057,"Nov 05, 2001"
21 Aso 2057,"Nov 06, 2001"
22 Aso 2057,"Nov 07, 2001"
23 Aso 2057,"Nov 08, 2001"
24 Aso 2057,"Nov 09, 2001"
25 Aso 2057,"Nov 10, 2001"
26 Aso 2057,"Nov 11, 2001"
27 Aso 2057,"Nov 12, 2001"
28 Aso 2057,"Nov 13, 2001"
29 Aso 2057,"Nov 14, 2001"
30 Aso 2057,"Nov 15, 2001"
1 Kartak 2057,"Nov 16, 2001"
2 Kartak 2057,"Nov 17, 2001"
3 Kartak 2057,"Nov 18, 2001"
4 Kartak 2057,"Nov 19, 2001"
5 Kartak 2057,"Nov 20, 2001"
6 Kartak 2057,"Nov 21, 2001"
7 Kartak 2057,"Nov 22, 2001"
8 Kartak 2057,"Nov 23, 2001"
9 Kartak 2057,"Nov 24, 2001"
10 Kartak 2057,"Nov 25, 2001"
11 Kartak 2057,"Nov 26, 2001"
12 Kartak 2057,"Nov 27, 2001"
13 Kartak 2057,"Nov 28, 2001"
14 Kartak 2057,"Nov 29, 2001"
15 Kartak 2057,"Nov 30, 2001"
16 Kartak 2057,"Dec 01, 2001"
17 Kartak 2057,"Dec 02, 2001"
18 Kartak 2057,"Dec 03, 2001"
19 Kartak 2057,"Dec 04, 2001"
20 Kartak 2057,"Dec 05, 2001"
21 Kartak 2057,"Dec 06, 2001"
22 Kartak 2057,"Dec 07, 2001"
23 Kartak 2057,"Dec 08, 2001"
24 Kartak 2057,"Dec 09, 2001"
25 Kartak 2057,"Dec 10, 2001"
26 Kartak 2057,"Dec 11, 2001"
27 Kartak 2057,"Dec 12, 2001"
28 Kartak 2057,"Dec 13, 2001"
29 Kartak 2057,"Dec 14, 2001"
1 Posh 2058,"Jan 14, 2002"
2 Posh 2058,"Jan 15, 2002"
3 Posh 2058,"Jan 16, 2002"
4 Posh 2058,"Jan 17, 2002"
5 Posh 2058,"Jan 18, 2002"
6 Posh 2058,"Jan 19, 2002"
7 Posh 2058,"Jan 20, 2002"
8 Posh 2058,"Jan 21, 2002"
9 Posh 2058,"Jan 22, 2002"
10 Posh 2058,"Jan 23, 2002"
11 Posh 2058,"Jan 24, 2002"
12 Posh 2058,"Jan 25, 2002"
13 Posh 2058,"Jan 26, 2002"
14 Posh 2058,"Jan 27, 2002"
15 Posh 2058,"Jan 28, 2002"
16 Posh 2058,"Jan 29, 2002"
17 Posh 2058,"Jan 30, 2002"
18 Posh 2058,"Jan 31, 2002"
19 Posh 2058,"Feb 01, 2002"
20 Posh 2058,"Feb 02, 2002"
21 Posh 2058,"Feb 03, 2002"
22 Posh 2058,"Feb 04, 2002"
23 Posh 2058,"Feb 05, 2002"
24 Posh 2058,"Feb 06, 2002"
25 Posh 2058,"Feb 07, 2002"
26 Posh 2058,"Feb 08, 2002"
27 Posh 2058,"Feb 09, 2002"
28 Posh 2058,"Feb 10, 2002"
29 Posh 2058,"Feb 11, 2002"
30 Posh 2058,"Feb 12, 2002"
1 Maha 2058,"Feb 13, 2002"
2 Maha 2058,"Feb 14, 2002"
3 Maha 2058,"Feb 15, 2002"
4 Maha 2058,"Feb 16, 2002"
5 Maha 2058,"Feb 17, 2002"
6 Maha 2058,"Feb 18, 2002"
7 Maha 2058,"Feb 19, 2002"
8 Maha 2058,"Feb 20, 2002"
9 Maha 2058,"Feb 21, 2002"
10 Maha 2058,"Feb 22, 2002"
11 Maha 2058,"Feb 23, 2002"
12 Maha 2058,"Feb 24, 2002"
13 Maha 2058,"Feb 25, 2002"
14 Maha 2058,"Feb 26, 2002"
15 Maha 2058,"Feb 27, 2002"
16 Maha 2058,"Feb 28, 2002"
17 Maha 2058,"Mar 01, 2002"
18 Maha 2058,"Mar 02, 2002"
19 Maha 2058,"Mar 03, 2002"
20 Maha 2058,"Mar 04, 2002"
21 Maha 2058,"Mar 05, 2002"
22 Maha 2058,"Mar 06, 2002"
23 Maha 2058,"Mar 07, 2002"
24 Maha 2058,"Mar 08, 2002"
25 Maha 2058,"Mar 09, 2002"
26 Maha 2058,"Mar 10, 2002"
27 Maha 2058,"Mar 11, 2002"
28 Maha 2058,"Mar 12, 2002"
29 Maha 2058,"Mar 13, 2002"
30 Maha 2058,"Mar 14, 2002"
1 Faguna 2058,"Mar 15, 2002"
2 Faguna 2058,"Mar 16, 2002"
3 Faguna 2058,"Mar 17, 2002"
4 Faguna 2058,"Mar 18, 2002"
5 Faguna 2058,"Mar 19, 2002"
6 Faguna 2058,"Mar 20, 2002"
7 Faguna 2058,"Mar 21, 2002"
8 Faguna 2058,"Mar 22, 2002"
9 Faguna 2058,"Mar 23, 2002"
10 Faguna 2058,"Mar 24, 2002"
11 Faguna 2058,"Mar 25, 2002"
12 Faguna 2058,"Mar 26, 2002"
13 Faguna 2058,"Mar 27, 2002"
14 Faguna 2058,"Mar 28, 2002"
15 Faguna 2058,"Mar 29, 2002"
16 Faguna 2058,"Mar 30, 2002"
17 Faguna 2058,"Mar 31, 2002"
18 Faguna 2058,"Apr 01, 2002"
19 Faguna 2058,"Apr 02, 2002"
20 Faguna 2058,"Apr 03, 2002"
21 Faguna 2058,"Apr 04, 2002"
22 Faguna 2058,"Apr 05, 2002"
23 Faguna 2058,"Apr 06, 2002"
24 Faguna 2058,"Apr 07, 2002"
25 Faguna 2058,"Apr 08, 2002"
26 Faguna 2058,"Apr 09, 2002"
27 Faguna 2058,"Apr 10, 2002"
28 Faguna 2058,"Apr 11, 2002"
29 Faguna 2058,"Apr 12, 2002"
1 Chaitra 2058,"Apr 13, 2002"
2 Chaitra 2058,"Apr 14, 2002"
3 Chaitra 2058,"Apr 15, 2002"
4 Chaitra 2058,"Apr 16, 2002"
5 Chaitra 2058,"Apr 17, 2002"
6 Chaitra 2058,"Apr 18, 2002"
7 Chaitra 2058,"Apr 19, 2002"
8 Chaitra 2058,"Apr 20, 2002"
9 Chaitra 2058,"Apr 21, 2002"
10 Chaitra 2058,"Apr 22, 2002"
11 Chaitra 2058,"Apr 23, 2002"
12 Chaitra 2058,"Apr 24, 2002"
13 Chaitra 2058,"Apr 25, 2002"
14 Chaitra 2058,"Apr 26, 2002"
15 Chaitra 2058,"Apr 27, 2002"
16 Chaitra 2058,"Apr 28, 2002"
17 Chaitra 2058,"Apr 29, 2002"
18 Chaitra 2058,"Apr 30, 2002"
19 Chaitra 2058,"May 01, 2002"
20 Chaitra 2058,"May 02, 2002"
21 Chaitra 2058,"May 03, 2002"
22 Chaitra 2058,"May 04, 2002"
23 Chaitra 2058,"May 05, 2002"
24 Chaitra 2058,"May 06, 2002"
25 Chaitra 2058,"May 07, 2002"
26 Chaitra 2058,"May 08, 2002"
27 Chaitra 2058,"May 09, 2002"
28 Chaitra 2058,"May 10, 2002"
29 Chaitra 2058,"May 11, 2002"
30 Chaitra 2058,"May 12, 2002"
1 Vaishakha 2058,"May 13, 2002"
2 Vaishakha 2058,"May 14, 2002"
3 Vaishakha 2058,"May 15, 2002"
4 Vaishakha 2058,"May 16, 2002"
5 Vaishakha 2058,"May 17, 2002"
6 Vaishakha 2058,"May 18, 2002"
7 Vaishakha 2058,"May 19, 2002"
8 Vaishakha 2058,"May 20, 2002"
9 Vaishakha 2058,"May 21, 2002"
10 Vaishakha 2058,"May 22, 2002"
11 Vaishakha 2058,"May 23, 2002"
12 Vaishakha 2058,"May 24, 2002"
13 Vaishakha 2058,"May 25, 2002"
14 Vaishakha 2058,"May 26, 2002"
15 Vaishakha 2058,"May 27, 2002"
16 Vaishakha 2058,"May 28, 2002"
17 Vaishakha 2058,"May 29, 2002"
18 Vaishakha 2058,"May 30, 2002"
19 Vaishakha 2058,"May 31, 2002"
20 Vaishakha 2058,"Jun 01, 2002"
21 Vaishakha 2058,"Jun 02, 2002"
22 Vaishakha 2058,"Jun 03, 2002"
23 Vaishakha 2058,"Jun 04, 2002"
24 Vaishakha 2058,"Jun 05, 2002"
25 Vaishakha 2058,"Jun 06, 2002"
26 Vaishakha 2058,"Jun 07, 2002"
27 Vaishakha 2058,"Jun 08, 2002"
28 Vaishakha 2058,"Jun 09, 2002"
29 Vaishakha 2058,"Jun 10, 2002"
1 Jyestha 2058,"Jun 11, 2002"
2 Jyestha 2058,"Jun 12, 2002"
3 Jyestha 2058,"Jun 13, 2002"
4 Jyestha 2058,"Jun 14, 2002"
5 Jyestha 2058,"Jun 15, 2002"
6 Jyestha 2058,"Jun 16, 2002"
7 Jyestha 2058,"Jun 17, 2002"
8 Jyestha 2058,"Jun 18, 2002"
9 Jyestha 2058,"Jun 19, 2002"
10 Jyestha 2058,"Jun 20, 2002"
11 Jyestha 2058,"Jun 21, 2002"
12 Jyestha 2058,"Jun 22, 2002"
13 Jyestha 2058,"Jun 23, 2002"
14 Jyestha 2058,"Jun 24, 2002"
15 Jyestha 2058,"Jun 25, 2002"
16 Jyestha 2058,"Jun 26, 2002"
17 Jyestha 2058,"Jun 27, 2002"
18 Jyestha 2058,"Jun 28, 2002"
19 Jyestha 2058,"Jun 29, 2002"
20 Jyestha 2058,"Jun 30, 2002"
21 Jyestha 2058,"Jul 01, 2002"
22 Jyestha 2058,"Jul 02, 2002"
23 Jyestha 2058,"Jul 03, 2002"
24 Jyestha 2058,"Jul 04, 2002"
25 Jyestha 2058,"Jul 05, 2002"
26 Jyestha 2058,"Jul 06, 2002"
27 Jyestha 2058,"Jul 07, 2002"
28 Jyestha 2058,"Jul 08, 2002"
29 Jyestha 2058,"Jul 09, 2002"
30 Jyestha 2058,"Jul 10, 2002"
1 Ashadha 2058,"Jul 11, 2002"
2 Ashadha 2058,"Jul 12, 2002"
3 Ashadha 2058,"Jul 13, 2002"
4 Ashadha 2058,"Jul 14, 2002"
5 Ashadha 2058,"Jul 15, 2002"
6 Ashadha 2058,"Jul 16, 2002"
7 Ashadha 2058,"Jul 17, 2002"
8 Ashadha 2058,"Jul 18, 2002"
9 Ashadha 2058,"Jul 19, 2002"
10 Ashadha 2058,"Jul 20, 2002"
11 Ashadha 2058,"Jul 21, 2002"
12 Ashadha 2058,"Jul 22, 2002"
13 Ashadha 2058,"Jul 23, 2002"
14 Ashadha 2058,"Jul 24, 2002"
15 Ashadha 2058,"Jul 25, 2002"
16 Ashadha 2058,"Jul 26, 2002"
17 Ashadha 2058,"Jul 27, 2002"
18 Ashadha 2058,"Jul 28, 2002"
19 Ashadha 2058,"Jul 29, 2002"
20 Ashadha 2058,"Jul 30, 2002"
21 Ashadha 2058,"Jul 31, 2002"
22 Ashadha 2058,"Aug 01, 2002"
23 Ashadha 2058,"Aug 02, 2002"
24 Ashadha 2058,"Aug 03, 2002"
25 Ashadha 2058,"Aug 04, 2002"
26 Ashadha 2058,"Aug 05, 2002"
27 Ashadha 2058,"Aug 06, 2002"
28 Ashadha 2058,"Aug 07, 2002"
29 Ashadha 2058,"Aug 08, 2002"
1 Shravana 2058,"Aug 09, 2002"
2 Shravana 2058,"Aug 10, 2002"
3 Shravana 2058,"Aug 11, 2002"
4 Shravana 2058,"Aug 12, 2002"
5 Shravana 2058,"Aug 13, 2002"
6 Shravana 2058,"Aug 14, 2002"
7 Shravana 2058,"Aug 15, 2002"
8 Shravana 2058,"Aug 16, 2002"
9 Shravana 2058,"Aug 17, 2002"
10 Shravana 2058,"Aug 18, 2002"
11 Shravana 2058,"Aug 19, 2002"
12 Shravana 2058,"Aug 20, 2002"
13 Shravana 2058,"Aug 21, 2002"
14 Shravana 2058,"Aug 22, 2002"
15 Shravana 2058,"Aug 23, 2002"
16 Shravana 2058,"Aug 24, 2002"
17 Shravana 2058,"Aug 25, 2002"
18 Shravana 2058,"Aug 26, 2002"
19 Shravana 2058,"Aug 27, 2002"
20 Shravana 2058,"Aug 28, 2002"
21 Shravana 2058,"Aug 29, 2002"
22 Shravana 2058,"Aug 30, 2002"
23 Shravana 2058,"Aug 31, 2002"
24 Shravana 2058,"Sep 01, 2002"
25 Shravana 2058,"Sep 02, 2002"
26 Shravana 2058,"Sep 03, 2002"
27 Shravana 2058,"Sep 04, 2002"
28 Shravana 2058,"Sep 05, 2002"
29 Shravana 2058,"Sep 06, 2002"
30 Shravana 2058,"Sep 07, 2002"
1 Bhadarvo 2058,"Sep 08, 2002"
2 Bhadarvo 2058,"Sep 09, 2002"
3 Bhadarvo 2058,"Sep 10, 2002"
4 Bhadarvo 2058,"Sep 11, 2002"
5 Bhadarvo 2058,"Sep 12, 2002"
6 Bhadarvo 2058,"Sep 13, 2002"
7 Bhadarvo 2058,"Sep 14, 2002"
8 Bhadarvo 2058,"Sep 15, 2002"
9 Bhadarvo 2058,"Sep 16, 2002"
10 Bhadarvo 2058,"Sep 17, 2002"
11 Bhadarvo 2058,"Sep 18, 2002"
12 Bhadarvo 2058,"Sep 19, 2002"
13 Bhadarvo 2058,"Sep 20, 2002"
14 Bhadarvo 2058,"Sep 21, 2002"
15 Bhadarvo 2058,"Sep 22, 2002"
16 Bhadarvo 2058,"Sep 23, 2002"
17 Bhadarvo 2058,"Sep 24, 2002"
18 Bhadarvo 2058,"Sep 25, 2002"
19 Bhadarvo 2058,"Sep 26, 2002"
20 Bhadarvo 2058,"Sep 27, 2002"
21 Bhadarvo 2058,"Sep 28, 2002"
22 Bhadarvo 2058,"Sep 29, 2002"
23 Bhadarvo 2058,"Sep 30, 2002"
24 Bhadarvo 2058,"Oct 01, 2002"
25 Bhadarvo 2058,"Oct 02, 2002"
26 Bhadarvo 2058,"Oct 03, 2002"
27 Bhadarvo 2058,"Oct 04, 2002"
28 Bhadarvo 2058,"Oct 05, 2002"
29 Bhadarvo 2058,"Oct 06, 2002"
1 Aso 2058,"Oct 07, 2002"
2 Aso 2058,"Oct 08, 2002"
3 Aso 2058,"Oct 09, 2002"
4 Aso 2058,"Oct 10, 2002"
5 Aso 2058,"Oct 11, 2002"
6 Aso 2058,"Oct 12, 2002"
7 Aso 2058,"Oct 13, 2002"
8 Aso 2058,"Oct 14, 2002"
9 Aso 2058,"Oct 15, 2002"
10 Aso 2058,"Oct 16, 2002"
11 Aso 2058,"Oct 17, 2002"
12 Aso 2058,"Oct 18, 2002"
13 Aso 2058,"Oct 19, 2002"
14 Aso 2058,"Oct 20, 2002"
15 Aso 2058,"Oct 21, 2002"
16 Aso 2058,"Oct 22, 2002"
17 Aso 2058,"Oct 23, 2002"
18 Aso 2058,"Oct 24, 2002"
19 Aso 2058,"Oct 25, 2002"
20 Aso 2058,"Oct 26, 2002"
21 Aso 2058,"Oct 27, 2002"
22 Aso 2058,"Oct 28, 2002"
23 Aso 2058,"Oct 29, 2002"
24 Aso 2058,"Oct 30, 2002"
25 Aso 2058,"Oct 31, 2002"
26 Aso 2058,"Nov 01, 2002"
27 Aso 2058,"Nov 02, 2002"
28 Aso 2058,"Nov 03, 2002"
29 Aso 2058,"Nov 04, 2002"
1 Kartak 2058,"Nov 05, 2002"
2 Kartak 2058,"Nov 06, 2002"
3 Kartak 2058,"Nov 07, 2002"
4 Kartak 2058,"Nov 08, 2002"
5 Kartak 2058,"Nov 09, 2002"
6 Kartak 2058,"Nov 10, 2002"
7 Kartak 2058,"Nov 11, 2002"
8 Kartak 2058,"Nov 12, 2002"
9 Kartak 2058,"Nov 13, 2002"
10 Kartak 2058,"Nov 14, 2002"
11 Kartak 2058,"Nov 15, 2002"
12 Kartak 2058,"Nov 16, 2002"
13 Kartak 2058,"Nov 17, 2002"
14 Kartak 2058,"Nov 18, 2002"
15 Kartak 2058,"Nov 19, 2002"
16 Kartak 2058,"Nov 20, 2002"
17 Kartak 2058,"Nov 21, 2002"
18 Kartak 2058,"Nov 22, 2002"
19 Kartak 2058,"Nov 23, 2002"
20 Kartak 2058,"Nov 24, 2002"
21 Kartak 2058,"Nov 25, 2002"
22 Kartak 2058,"Nov 26, 2002"
23 Kartak 2058,"Nov 27, 2002"
24 Kartak 2058,"Nov 28, 2002"
25 Kartak 2058,"Nov 29, 2002"
26 Kartak 2058,"Nov 30, 2002"
27 Kartak 2058,"Dec 01, 2002"
28 Kartak 2058,"Dec 02, 2002"
29 Kartak 2058,"Dec 03, 2002"
30 Kartak 2058,"Dec 04, 2002"
1 Magshar 2058,"Dec 05, 2002"
2 Magshar 2058,"Dec 06, 2002"
3 Magshar 2058,"Dec 07, 2002"
4 Magshar 2058,"Dec 08, 2002"
5 Magshar 2058,"Dec 09, 2002"
6 Magshar 2058,"Dec 10, 2002"
7 Magshar 2058,"Dec 11, 2002"
8 Magshar 2058,"Dec 12, 2002"
9 Magshar 2058,"Dec 13, 2002"
10 Magshar 2058,"Dec 14, 2002"
11 Magshar 2058,"Dec 15, 2002"
12 Magshar 2058,"Dec 16, 2002"
13 Magshar 2058,"Dec 17, 2002"
14 Magshar 2058,"Dec 18, 2002"
15 Magshar 2058,"Dec 19, 2002"
16 Magshar 2058,"Dec 20, 2002"
17 Magshar 2058,"Dec 21, 2002"
18 Magshar 2058,"Dec 22, 2002"
19 Magshar 2058,"Dec 23, 2002"
20 Magshar 2058,"Dec 24, 2002"
21 Magshar 2058,"Dec 25, 2002"
22 Magshar 2058,"Dec 26, 2002"
23 Magshar 2058,"Dec 27, 2002"
24 Magshar 2058,"Dec 28, 2002"
25 Magshar 2058,"Dec 29, 2002"
26 Magshar 2058,"Dec 30, 2002"
27 Magshar 2058,"Dec 31, 2002"
28 Magshar 2058,"Jan 01, 2003"
29 Magshar 2058,"Jan 02, 2003"
1 Posh 2059,"Jan 03, 2003"
2 Posh 2059,"Jan 04, 2003"
3 Posh 2059,"Jan 05, 2003"
4 Posh 2059,"Jan 06, 2003"
5 Posh 2059,"Jan 07, 2003"
6 Posh 2059,"Jan 08, 2003"
7 Posh 2059,"Jan 09, 2003"
8 Posh 2059,"Jan 10, 2003"
9 Posh 2059,"Jan 11, 2003"
10 Posh 2059,"Jan 12, 2003"
11 Posh 2059,"Jan 13, 2003"
12 Posh 2059,"Jan 14, 2003"
13 Posh 2059,"Jan 15, 2003"
14 Posh 2059,"Jan 16, 2003"
15 Posh 2059,"Jan 17, 2003"
16 Posh 2059,"Jan 18, 2003"
17 Posh 2059,"Jan 19, 2003"
18 Posh 2059,"Jan 20, 2003"
19 Posh 2059,"Jan 21, 2003"
20 Posh 2059,"Jan 22, 2003"
21 Posh 2059,"Jan 23, 2003"
22 Posh 2059,"Jan 24, 2003"
23 Posh 2059,"Jan 25, 2003"
24 Posh 2059,"Jan 26, 2003"
25 Posh 2059,"Jan 27, 2003"
26 Posh 2059,"Jan 28, 2003"
27 Posh 2059,"Jan 29, 2003"
28 Posh 2059,"Jan 30, 2003"
29 Posh 2059,"Jan 31, 2003"
30 Posh 2059,"Feb 01, 2003"
1 Maha 2059,"Feb 02, 2003"
2 Maha 2059,"Feb 03, 2003"
3 Maha 2059,"Feb 04, 2003"
4 Maha 2059,"Feb 05, 2003"
5 Maha 2059,"Feb 06, 2003"
6 Maha 2059,"Feb 07, 2003"
7 Maha 2059,"Feb 08, 2003"
8 Maha 2059,"Feb 09, 2003"
9 Maha 2059,"Feb 10, 2003"
10 Maha 2059,"Feb 11, 2003"
11 Maha 2059,"Feb 12, 2003"
12 Maha 2059,"Feb 13, 2003"
13 Maha 2059,"Feb 14, 2003"
14 Maha 2059,"Feb 15, 2003"
15 Maha 2059,"Feb 16, 2003"
16 Maha 2059,"Feb 17, 2003"
17 Maha 2059,"Feb 18, 2003"
18 Maha 2059,"Feb 19, 2003"
19 Maha 2059,"Feb 20, 2003"
20 Maha 2059,"Feb 21, 2003"
21 Maha 2059,"Feb 22, 2003"
22 Maha 2059,"Feb 23, 2003"
23 Maha 2059,"Feb 24, 2003"
24 Maha 2059,"Feb 25, 2003"
25 Maha 2059,"Feb 26, 2003"
26 Maha 2059,"Feb 27, 2003"
27 Maha 2059,"Feb 28, 2003"
28 Maha 2059,"Mar 01, 2003"
29 Maha 2059,"Mar 02, 2003"
30 Maha 2059,"Mar 03, 2003"
1 Faguna 2059,"Mar 04, 2003"
2 Faguna 2059,"Mar 05, 2003"
3 Faguna 2059,"Mar 06, 2003"
4 Faguna 2059,"Mar 07, 2003"
5 Faguna 2059,"Mar 08, 2003"
6 Faguna 2059,"Mar 09, 2003"
7 Faguna 2059,"Mar 10, 2003"
8 Faguna 2059,"Mar 11, 2003"
9 Faguna 2059,"Mar 12, 2003"
10 Faguna 2059,"Mar 13, 2003"
11 Faguna 2059,"Mar 14, 2003"
12 Faguna 2059,"Mar 15, 2003"
13 Faguna 2059,"Mar 16, 2003"
14 Faguna 2059,"Mar 17, 2003"
15 Faguna 2059,"Mar 18, 2003"
16 Faguna 2059,"Mar 19, 2003"
17 Faguna 2059,"Mar 20, 2003"
18 Faguna 2059,"Mar 21, 2003"
19 Faguna 2059,"Mar 22, 2003"
20 Faguna 2059,"Mar 23, 2003"
21 Faguna 2059,"Mar 24, 2003"
22 Faguna 2059,"Mar 25, 2003"
23 Faguna 2059,"Mar 26, 2003"
24 Faguna 2059,"Mar 27, 2003"
25 Faguna 2059,"Mar 28, 2003"
26 Faguna 2059,"Mar 29, 2003"
27 Faguna 2059,"Mar 30, 2003"
28 Faguna 2059,"Mar 31, 2003"
29 Faguna 2059,"Apr 01, 2003"
1 Chaitra 2059,"Apr 02, 2003"
2 Chaitra 2059,"Apr 03, 2003"
3 Chaitra 2059,"Apr 04, 2003"
4 Chaitra 2059,"Apr 05, 2003"
5 Chaitra 2059,"Apr 06, 2003"
6 Chaitra 2059,"Apr 07, 2003"
7 Chaitra 2059,"Apr 08, 2003"
8 Chaitra 2059,"Apr 09, 2003"
9 Chaitra 2059,"Apr 10, 2003"
10 Chaitra 2059,"Apr 11, 2003"
11 Chaitra 2059,"Apr 12, 2003"
12 Chaitra 2059,"Apr 13, 2003"
13 Chaitra 2059,"Apr 14, 2003"
14 Chaitra 2059,"Apr 15, 2003"
15 Chaitra 2059,"Apr 16, 2003"
16 Chaitra 2059,"Apr 17, 2003"
17 Chaitra 2059,"Apr 18, 2003"
18 Chaitra 2059,"Apr 19, 2003"
19 Chaitra 2059,"Apr 20, 2003"
20 Chaitra 2059,"Apr 21, 2003"
21 Chaitra 2059,"Apr 22, 2003"
22 Chaitra 2059,"Apr 23, 2003"
23 Chaitra 2059,"Apr 24, 2003"
24 Chaitra 2059,"Apr 25, 2003"
25 Chaitra 2059,"Apr 26, 2003"
26 Chaitra 2059,"Apr 27, 2003"
27 Chaitra 2059,"Apr 28, 2003"
28 Chaitra 2059,"Apr 29, 2003"
29 Chaitra 2059,"Apr 30, 2003"
30 Chaitra 2059,"May 01, 2003"
1 Vaishakha 2059,"May 02, 2003"
2 Vaishakha 2059,"May 03, 2003"
3 Vaishakha 2059,"May 04, 2003"
4 Vaishakha 2059,"May 05, 2003"
5 Vaishakha 2059,"May 06, 2003"
6 Vaishakha 2059,"May 07, 2003"
7 Vaishakha 2059,"May 08, 2003"
8 Vaishakha 2059,"May 09, 2003"
9 Vaishakha 2059,"May 10, 2003"
10 Vaishakha 2059,"May 11, 2003"
11 Vaishakha 2059,"May 12, 2003"
12 Vaishakha 2059,"May 13, 2003"
13 Vaishakha 2059,"May 14, 2003"
14 Vaishakha 2059,"May 15, 2003"
15 Vaishakha 2059,"May 16, 2003"
16 Vaishakha 2059,"May 17, 2003"
17 Vaishakha 2059,"May 18, 2003"
18 Vaishakha 2059,"May 19, 2003"
19 Vaishakha 2059,"May 20, 2003"
20 Vaishakha 2059,"May 21, 2003"
21 Vaishakha 2059,"May 22, 2003"
22 Vaishakha 2059,"May 23, 2003"
23 Vaishakha 2059,"May 24, 2003"
24 Vaishakha 2059,"May 25, 2003"
25 Vaishakha 2059,"May 26, 2003"
26 Vaishakha 2059,"May 27, 2003"
27 Vaishakha 2059,"May 28, 2003"
28 Vaishakha 2059,"May 29, 2003"
29 Vaishakha 2059,"May 30, 2003"
30 Vaishakha 2059,"May 31, 2003"
1 Jyestha 2059,"Jun 01, 2003"
2 Jyestha 2059,"Jun 02, 2003"
3 Jyestha 2059,"Jun 03, 2003"
4 Jyestha 2059,"Jun 04, 2003"
5 Jyestha 2059,"Jun 05, 2003"
6 Jyestha 2059,"Jun 06, 2003"
7 Jyestha 2059,"Jun 07, 2003"
8 Jyestha 2059,"Jun 08, 2003"
9 Jyestha 2059,"Jun 09, 2003"
10 Jyestha 2059,"Jun 10, 2003"
11 Jyestha 2059,"Jun 11, 2003"
12 Jyestha 2059,"Jun 12, 2003"
13 Jyestha 2059,"Jun 13, 2003"
14 Jyestha 2059,"Jun 14, 2003"
15 Jyestha 2059,"Jun 15, 2003"
16 Jyestha 2059,"Jun 16, 2003"
17 Jyestha 2059,"Jun 17, 2003"
18 Jyestha 2059,"Jun 18, 2003"
19 Jyestha 2059,"Jun 19, 2003"
20 Jyestha 2059,"Jun 20, 2003"
21 Jyestha 2059,"Jun 21, 2003"
22 Jyestha 2059,"Jun 22, 2003"
23 Jyestha 2059,"Jun 23, 2003"
24 Jyestha 2059,"Jun 24, 2003"
25 Jyestha 2059,"Jun 25, 2003"
26 Jyestha 2059,"Jun 26, 2003"
27 Jyestha 2059,"Jun 27, 2003"
28 Jyestha 2059,"Jun 28, 2003"
29 Jyestha 2059,"Jun 29, 2003"
1 Ashadha 2059,"Jun 30, 2003"
2 Ashadha 2059,"Jul 01, 2003"
3 Ashadha 2059,"Jul 02, 2003"
4 Ashadha 2059,"Jul 03, 2003"
5 Ashadha 2059,"Jul 04, 2003"
6 Ashadha 2059,"Jul 05, 2003"
7 Ashadha 2059,"Jul 06, 2003"
8 Ashadha 2059,"Jul 07, 2003"
9 Ashadha 2059,"Jul 08, 2003"
10 Ashadha 2059,"Jul 09, 2003"
11 Ashadha 2059,"Jul 10, 2003"
12 Ashadha 2059,"Jul 11, 2003"
13 Ashadha 2059,"Jul 12, 2003"
14 Ashadha 2059,"Jul 13, 2003"
15 Ashadha 2059,"Jul 14, 2003"
16 Ashadha 2059,"Jul 15, 2003"
17 Ashadha 2059,"Jul 16, 2003"
18 Ashadha 2059,"Jul 17, 2003"
19 Ashadha 2059,"Jul 18, 2003"
20 Ashadha 2059,"Jul 19, 2003"
21 Ashadha 2059,"Jul 20, 2003"
22 Ashadha 2059,"Jul 21, 2003"
23 Ashadha 2059,"Jul 22, 2003"
24 Ashadha 2059,"Jul 23, 2003"
25 Ashadha 2059,"Jul 24, 2003"
26 Ashadha 2059,"Jul 25, 2003"
27 Ashadha 2059,"Jul 26, 2003"
28 Ashadha 2059,"Jul 27, 2003"
29 Ashadha 2059,"Jul 28, 2003"
30 Ashadha 2059,"Jul 29, 2003"
1 Shravana 2059,"Jul 30, 2003"
2 Shravana 2059,"Jul 31, 2003"
3 Shravana 2059,"Aug 01, 2003"
4 Shravana 2059,"Aug 02, 2003"
5 Shravana 2059,"Aug 03, 2003"
6 Shravana 2059,"Aug 04, 2003"
7 Shravana 2059,"Aug 05, 2003"
8 Shravana 2059,"Aug 06, 2003"
9 Shravana 2059,"Aug 07, 2003"
10 Shravana 2059,"Aug 08, 2003"
11 Shravana 2059,"Aug 09, 2003"
12 Shravana 2059,"Aug 10, 2003"
13 Shravana 2059,"Aug 11, 2003"
14 Shravana 2059,"Aug 12, 2003"
15 Shravana 2059,"Aug 13, 2003"
16 Shravana 2059,"Aug 14, 2003"
17 Shravana 2059,"Aug 15, 2003"
